,ad,bizseller,checkout,contact_hope,free_shipping,is_adult,is_super_up_shop,location,max_cpc,name,num_comment,num_faved,only_neighborhood,outlink_url,pid,price,product_image,pu_id,ref_campaign,ref_code,ref_medium,ref_content,ref_source,status,style,super_up,tag,uid,update_time,used,bun_pay_filter_enabled,imp_id,ad_ref,faved
1406,False,False,False,False,False,False,,울산광역시 남구 옥동,,[260] 새상품 나이키 덩크 로우 범고래,0,1,False,,164829028,330000,https://media.bunjang.co.kr/product/164829028_1_1632042964_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 덩크 나이키 덩크로우 260,8226932,1632203289,1,False,2993618b4b770876fe38,,False
1407,False,False,False,False,True,False,,광주광역시 남구 양림동,,나이키 덩크로우 범고래 240,0,3,False,,164387709,400000,https://media.bunjang.co.kr/product/164387709_1_1631532137_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키덩크로우범고래 범고래240 덩크로우범고래,76661120,1632196994,2,False,2993618b4b770876fe39,,False
1408,False,False,False,False,False,False,,인천광역시 남구 주안8동,,나이키 덩크 로우 범고래 255,0,5,False,,164249053,250000,https://media.bunjang.co.kr/product/164249053_1_1632200608_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 덩크 나이키덩크 나이키 덩크로우,4011833,1632193107,1,False,2993618b4b770876fe3a,,False
1409,False,False,False,False,True,False,,인천광역시 서구 청라2동,,[280] 나이키 덩크로우 범고래,0,1,False,,164924711,270000,https://media.bunjang.co.kr/product/164924711_1_1632201357_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 덩크280 범고래280 나이키범고래 덩크범고래,4076089,1632188208,1,False,2993618b4b770876fe3b,,False
1410,False,False,False,False,True,False,,전라북도 전주시 덕진구 우아2동,,[240] 나이키 범고래 덩크로우 우먼스 ,0,1,False,,164914877,340000,https://media.bunjang.co.kr/product/164914877_1_1632153729_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 나이키덩크로우범고래 범고래240,7705239,1632153067,2,False,2993618b4b770876fe3c,,False
1411,False,False,False,False,False,False,,,,나이키 덩크로우 범고래 245,0,3,False,,164907690,330000,https://media.bunjang.co.kr/product/164907690_1_1632145448_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 범고래 나이키덩크로우범고래 덩크로우 나이키덩크로우,12135506,1632145448,1,False,2993618b4b770876fe3d,,False
1412,False,False,False,False,False,False,,,,나이키 덩크로우 범고래 275,0,5,False,,164885394,218000,https://media.bunjang.co.kr/product/164885394_1_1632123714_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,덩크로우 범고래 조던 덩크 275,1698737,1632129807,1,False,2993618b4b770876fe3e,,False
1413,False,False,False,False,False,False,,충청남도 천안시 동남구 일봉동,,나이키 덩크로우 범고래 ,0,0,False,,163861298,350000,https://media.bunjang.co.kr/product/163861298_1_1630995052_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키브랜덕데이 나이키 265,9074200,1632118893,1,True,2993618b4b770876fe3f,,False
1414,False,False,False,False,False,False,,부산광역시 사상구 주례제3동,,[260]나이키 덩크로우 범고래 맨즈,0,2,False,,164606789,335000,https://media.bunjang.co.kr/product/164606789_1_1632122712_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래260 나이키덩크 나이키덩크로우범고래 나이키덩크로우 범고래덩크,74298860,1632118844,2,True,2993618b4b770876fe40,,False
1415,False,False,False,False,False,False,,경기도 시흥시 목감동,,나이키덩크로우 범고래(275),0,1,False,,164485107,340000,https://media.bunjang.co.kr/product/164485107_1_1632125861_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 나이키덩크로우범고래 범고래275 나이키덩크275 덩크로우,11975988,1632108110,2,False,2993618b4b770876fe41,,False
1416,False,False,False,False,True,False,,부산광역시 북구 만덕제3동,,나이키 덩크로우 범고래 W245 팝니다,0,12,False,,162296872,385000,https://media.bunjang.co.kr/product/162296872_1_1632068490_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 범고래 W245 새상품,75279084,1632108027,2,True,2993618b4b770876fe42,,False
1417,False,False,False,False,False,False,,,,[250] 나이키 덩크로우 범고래,0,0,False,,164868662,340000,https://media.bunjang.co.kr/product/164868662_1_1632106839_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,덩크로우 나이키덩크로우범고래 나이키250 범고래덩크,378198,1632106842,2,False,2993618b4b770876fe43,,False
1418,False,False,False,False,False,False,,경기도 평택시 신평동,,나이키 범고래 260(덩크로우 블랙화이트),0,1,False,,162815740,340000,https://media.bunjang.co.kr/product/162815740_1_1632653583_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 범고래 덩크로우 260,3405255,1632106690,1,True,2993618b4b770876fe44,,False
1419,False,False,False,False,False,False,,부산광역시 사하구 신평제2동,,나이키 범고래 덩크로우 260,0,3,False,,164252015,300000,https://media.bunjang.co.kr/product/164252015_1_1631662986_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,덩크로우 범고래 260 명품 나이키,75954013,1632104801,1,True,2993618b4b770876fe45,,False
1420,False,False,False,False,False,False,,,,나이키 덩크로우 범고래(260),0,3,False,,164676776,200000,https://media.bunjang.co.kr/product/164676776_1_1631967558_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 나이키260 나이키범고래 나이키덩크로우범고래,77139412,1632094185,1,False,2993618b4b770876fe46,,False
1421,False,False,False,False,False,False,,경기도 고양시 덕양구 고양동,,나이키 덩크로우 범고래 240,0,0,False,,164857490,400000,https://media.bunjang.co.kr/product/164857490_1_1632079377_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키범고래 나이키범고래240 범고래240 나이키덩크로우범고래 덩크로우240,6306372,1632073430,1,True,2993618b4b770876fe47,,False
