날짜,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드
2021-08-24,,9.0,43.0,24.0
2021-08-25,,6.0,22.0,13.0
2021-08-26,,16.0,34.0,13.0
2021-08-27,,,22.0,4.0
2021-08-28,,1.0,43.0,37.0
2021-08-29,,,14.0,6.0
2021-08-30,,8.0,48.0,13.0
2021-08-31,,1.0,15.0,3.0
2021-09-01,,,15.0,4.0
2021-09-02,,1.0,23.0,4.0
2021-09-03,,8.0,29.0,11.0
2021-09-04,,3.0,11.0,8.0
2021-09-05,,6.0,30.0,16.0
2021-09-06,,3.0,48.0,3.0
2021-09-07,,5.0,32.0,11.0
2021-09-08,,8.0,14.0,15.0
2021-09-09,,3.0,18.0,4.0
2021-09-10,,1.0,8.0,6.0
2021-09-11,,4.0,28.0,19.0
2021-09-12,,16.0,46.0,9.0
2021-09-13,,10.0,35.0,4.0
2021-09-14,,3.0,23.0,9.0
2021-09-15,,20.0,32.0,6.0
2021-09-16,,18.0,27.0,10.0
2021-09-17,,11.0,37.0,10.0
2021-09-18,,11.0,14.0,6.0
2021-09-19,,30.0,32.0,6.0
2021-09-20,,13.0,27.0,16.0
2021-09-21,,25.0,29.0,22.0
2021-09-22,,8.0,35.0,22.0
2021-09-23,,15.0,18.0,16.0
2021-09-24,,9.0,44.0,9.0
2021-09-25,,4.0,39.0,10.0
2021-09-26,,6.0,29.0,16.0
2021-09-27,,1.0,1.0,32.0
2021-09-28,,5.0,5.0,22.0
2021-09-29,,11.0,20.0,28.0
2021-09-30,,22.0,22.0,30.0
2021-10-01,,5.0,15.0,32.0
2021-10-02,,8.0,5.0,15.0
2021-10-03,,3.0,16.0,43.0
2021-10-04,,10.0,3.0,3.0
2021-10-05,,15.0,9.0,11.0
2021-10-06,,10.0,8.0,6.0
2021-10-07,,1.0,13.0,6.0
2021-10-08,,14.0,3.0,23.0
2021-10-09,,11.0,,35.0
2021-10-10,,16.0,15.0,29.0
2021-10-11,,19.0,3.0,29.0
2021-10-12,,6.0,20.0,20.0
2021-10-13,,3.0,15.0,24.0
2021-10-14,,19.0,13.0,13.0
2021-10-15,,3.0,8.0,27.0
2021-10-16,,1.0,18.0,22.0
2021-10-17,,5.0,19.0,3.0
2021-10-18,,18.0,28.0,16.0
2021-10-19,,3.0,8.0,43.0
2021-10-20,,6.0,25.0,20.0
2021-10-21,,4.0,11.0,39.0
2021-10-22,,8.0,29.0,6.0
2021-10-23,,3.0,14.0,16.0
2021-10-24,,8.0,4.0,25.0
2021-10-25,,11.0,14.0,33.0
2021-10-26,,6.0,48.0,19.0
2021-10-27,,13.0,18.0,18.0
2021-10-28,,3.0,20.0,8.0
2021-10-29,,,19.0,22.0
2021-10-30,,14.0,28.0,16.0
2021-10-31,,10.0,18.0,34.0
2021-11-01,,11.0,10.0,41.0
2021-11-02,,5.0,16.0,29.0
2021-11-03,,3.0,39.0,41.0
2021-11-04,,11.0,18.0,16.0
2021-11-05,,1.0,14.0,10.0
2021-11-06,,4.0,3.0,9.0
2021-11-07,,1.0,11.0,25.0
2021-11-08,,8.0,15.0,23.0
2021-11-09,,5.0,6.0,14.0
2021-11-10,,10.0,20.0,27.0
2021-11-11,,9.0,5.0,30.0
2021-11-12,,6.0,3.0,20.0
2021-11-13,,11.0,19.0,15.0
