,Unnamed: 0,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
17,17,경기도 부천시 소사본3동,나이키 조던1 로우 트레비스스캇 [270],2,167771462,1750000,0,4142005,1635934623,2,2021-11-03 19:17:03,2021-11-03,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,부천시,소사본3동
18,18,광주광역시 광산구 월곡1동,[285] 나이키X트레비스 스캇X프라그먼트 조던1 로우 밀리터리 블루,7,164129793,1800000,0,9325750,1635773235,2,2021-11-01 22:27:15,2021-11-01,285,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,광주광역시,광산구,월곡1동
19,19,서울특별시 금천구 시흥제4동,270 조던1 트레비스캇 프라그먼트 로우,1,167211603,1600000,1,873105,1634398733,1,2021-10-17 00:38:53,2021-10-17,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,금천구,시흥제4동
20,20,서울특별시 강동구 상일동,[260] 조던1 트레비스스캇x프라그먼트 로우,5,163284668,1600000,1,5124310,1634355847,2,2021-10-16 12:44:07,2021-10-16,260,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,강동구,상일동
21,21,경기도 안산시 단원구 백운동,조던1x프라그먼트x트레비스스캇 로우 [270],1,167042292,1690000,0,7469697,1634260889,2,2021-10-15 10:21:29,2021-10-15,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,안산시,단원구 백운동
22,22,강원도 춘천시 퇴계동,(265) 나이키 에어조던1 로우 트레비스스캇X프라그먼트,9,162078492,1600000,0,11105783,1634048635,1,2021-10-12 23:23:55,2021-10-12,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,강원도,춘천시,퇴계동
23,23,인천광역시 서구 검암경서동,나이키 에어조던1로우 OG SP 트레비스 스캇 260,0,166549577,1600000,0,77240264,1633782107,2,2021-10-09 21:21:47,2021-10-09,260,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,서구,검암경서동
24,24,부산광역시 해운대구 반여제4동,조던 1 트레비스 스캇 로우 275  판매 합니다,1,162045165,1730000,0,12634724,1633647273,2,2021-10-08 07:54:33,2021-10-08,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,부산광역시,해운대구,반여제4동
25,25,서울특별시 영등포구 당산제2동,#나이키브랜덕데이 나이키 조던1로우 프라그만트x트레비스스캇 255,1,166197575,1750000,0,4011536,1633440007,2,2021-10-05 22:20:07,2021-10-05,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,영등포구,당산제2동
26,26,서울특별시 광진구 화양동,조던1 로우 트레비스캇 프라그먼트 270사이즈,0,165160348,1600000,1,1198797,1632456025,2,2021-09-24 13:00:25,2021-09-24,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,광진구,화양동
27,27,,조던1 로우 x 트레비스 스캇 x 프라그먼트 SP 255사이즈,4,165065605,1550000,0,8868818,1632361306,2,2021-09-23 10:41:46,2021-09-23,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,NUL,NUL,
28,28,경기도 화성시 동탄4동,조던1 트레비스 스캇 프라그먼트 레트로 로우 265,0,161661880,1800000,0,1449732,1632110027,2,2021-09-20 12:53:47,2021-09-20,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,화성시,동탄4동
29,29,경기도 안양시 동안구 귀인동,정품)[265]나이키 조던1 로우 트레비스 스캇 프라그먼트,10,164703932,1589000,0,1106927,1632017496,2,2021-09-19 11:11:36,2021-09-19,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,안양시,동안구 귀인동
30,30,경기도 의왕시 청계동,조던1로우 트레비스캇 플라그먼트 265m,0,163929626,1800000,0,8413360,1631064200,2,2021-09-08 10:23:20,2021-09-08,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,의왕시,청계동
31,31,서울특별시 은평구 역촌동,나이키 에어 조던1 로우 트레비스 스캇 240,0,162019536,1750000,0,9485858,1630718039,2,2021-09-04 10:13:59,2021-09-04,240,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,은평구,역촌동
32,32,서울특별시 영등포구 영등포동,나이키 조던로우1 트레비스스캇 265싸이즈 팝니다!!,3,162822347,1650000,0,12129867,1630055552,1,2021-08-27 18:12:32,2021-08-27,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,영등포구,영등포동
33,33,,조던1로우 트레비스스캇 프라그먼트 240,3,162909629,1300000,1,11680426,1630054797,1,2021-08-27 17:59:57,2021-08-27,240,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,NUL,NUL,
