날짜,나이키덩크로우골든로드,나이키덩크로우라이트본,나이키덩크로우바시티그린,나이키덩크로우범고래,나이키덩크로우유니버시티블루,나이키덩크로우코스트,나이키덩크하이네이비,나이키덩크하이범고래,나이키덩크하이오렌지,조던1하이다크모카,조던1하이스모크그레이,조던1하이하이퍼로얄,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드,조던1로우스타피쉬,조던1로우울프그레이,조던1로우트레비스스캇,뉴발란스992그레이,뉴발란스992네이비,뉴발란스992블랙그레이,뉴발란스992화이트실버,뉴발란스993네이비,뉴발란스993그레이,뉴발란스993블랙
2021-01-25,,,,7.0,,84.0,,14.0,,35.0,,,,13.0,,,,,,27,5.0,,6.0,13.0,55,24.0
2021-01-26,,,,7.0,,47.0,,6.0,,,3.0,,,66.0,,,,,,31,5.0,,2.0,12.0,40,22.0
2021-01-27,,,,5.0,,41.0,,8.0,,3.0,3.0,,,73.0,,,,,,39,9.0,,2.0,9.0,31,14.0
2021-01-28,,,,8.0,,22.0,,6.0,,26.0,,,,29.0,,,,,,60,8.0,1.0,2.0,2.0,38,18.0
2021-01-29,,,,7.0,,42.0,,6.0,,3.0,3.0,,,32.0,,,,,,61,5.0,,1.0,4.0,29,19.0
2021-01-30,,,,7.0,,39.0,,8.0,,10.0,,,,58.0,,,,,,42,7.0,,4.0,11.0,51,15.0
2021-01-31,,,,11.0,,66.0,,14.0,,6.0,3.0,,,76.0,,,,,,40,7.0,,3.0,8.0,43,24.0
2021-02-01,,,,9.0,,76.0,,10.0,,,16.0,,,32.0,,,,,,46,7.0,,1.0,4.0,62,23.0
2021-02-02,,,,8.0,,54.0,,9.0,,29.0,,,,53.0,,,,,,37,4.0,,,14.0,49,14.0
2021-02-03,,,,7.0,,40.0,,12.0,,39.0,19.0,,,22.0,,4.0,,,,55,6.0,,,11.0,40,34.0
2021-02-04,,,,6.0,,46.0,,12.0,,16.0,6.0,,,58.0,,,,,,59,10.0,,11.0,7.0,33,25.0
2021-02-05,,,,6.0,,32.0,,8.0,,6.0,,,,56.0,,,,,,34,8.0,,,7.0,39,19.0
2021-02-06,,,,6.0,,29.0,,5.0,,32.0,,,,24.0,,,,,,41,6.0,,1.0,6.0,55,26.0
2021-02-07,,,,7.0,,37.0,,6.0,,3.0,,,,54.0,,,,,,57,7.0,,1.0,5.0,60,20.0
2021-02-08,,,,9.0,,40.0,1.0,8.0,,19.0,,,,28.0,,,,,,42,6.0,,,4.0,58,17.0
2021-02-09,,,,7.0,,17.0,,6.0,,3.0,6.0,6.0,,43.0,,,,,,49,3.0,,2.0,9.0,44,16.0
2021-02-10,,,,11.0,,31.0,,6.0,,13.0,,,,48.0,,,,,,59,4.0,,3.0,10.0,44,24.0
2021-02-11,,,,9.0,,42.0,,12.0,,29.0,61.0,,,51.0,,,,,,51,1.0,,,10.0,43,14.0
2021-02-12,,,,8.0,,58.0,,5.0,,3.0,,,,46.0,,,,,,70,10.0,,3.0,5.0,64,14.0
2021-02-13,,,,8.0,,39.0,,17.0,,10.0,,,,49.0,,8.0,,,,67,8.0,,,15.0,58,14.0
2021-02-14,,,,10.0,,33.0,,14.0,,6.0,26.0,10.0,,20.0,,1.0,,,,100,8.0,,1.0,11.0,93,25.0
2021-02-15,,,,9.0,,38.0,,9.0,,10.0,32.0,,,58.0,,16.0,,,,63,5.0,,,11.0,100,19.0
2021-02-16,,,,8.0,,45.0,,11.0,,23.0,19.0,,,34.0,,,,,,49,5.0,,2.0,14.0,67,23.0
2021-02-17,,,,8.0,,36.0,,7.0,,19.0,,,,28.0,,,,,,74,3.0,,,12.0,53,33.0
2021-02-18,,,,8.0,,24.0,1.0,9.0,,19.0,10.0,,,46.0,,1.0,,,,54,4.0,,2.0,8.0,52,21.0
2021-02-19,,,,10.0,,42.0,,14.0,,3.0,10.0,,,43.0,,,,,,61,6.0,,,11.0,44,32.0
2021-02-20,,,,9.0,,35.0,,12.0,,6.0,,,,41.0,,,,,3.0,51,10.0,,,4.0,38,17.0
2021-02-21,,,,15.0,,37.0,,11.0,,6.0,6.0,,,46.0,1.0,1.0,,,,93,8.0,,1.0,6.0,59,20.0
2021-02-22,,,,11.0,,34.0,,9.0,,6.0,19.0,,,20.0,,,,,,54,3.0,,1.0,3.0,49,15.0
2021-02-23,,,,10.0,,22.0,,11.0,,6.0,29.0,,,20.0,,6.0,,,,49,11.0,,,15.0,41,18.0
2021-02-24,,,,9.0,,9.0,,7.0,,13.0,,,,24.0,,4.0,,,,39,4.0,,,5.0,51,14.0
2021-02-25,,,,11.0,,53.0,,9.0,,,10.0,,,33.0,1.0,,,,,45,7.0,,,4.0,48,16.0
2021-02-26,,,,9.0,,35.0,,5.0,,,16.0,,,30.0,,4.0,,,,43,4.0,,,5.0,44,17.0
2021-02-27,,,,12.0,,31.0,,16.0,,,3.0,,,25.0,,,,,,60,8.0,,,11.0,49,14.0
2021-02-28,,,,13.0,,34.0,,15.0,,29.0,,,,29.0,,,,,,55,9.0,,,6.0,39,12.0
2021-03-01,,,,15.0,,62.0,,15.0,,,10.0,,,32.0,,1.0,,,,64,7.0,,,9.0,51,17.0
2021-03-02,,,,10.0,,68.0,,17.0,,19.0,,,,37.0,,6.0,,,,46,5.0,,,5.0,42,11.0
2021-03-03,,,,12.0,,57.0,,10.0,,3.0,42.0,,,39.0,,,,,,59,3.0,,,6.0,39,17.0
2021-03-04,,,,12.0,,43.0,,12.0,2.0,,23.0,,,10.0,,,,,,48,5.0,,,4.0,44,23.0
2021-03-05,,,,12.0,,59.0,,13.0,6.0,6.0,,,,11.0,,,,,,34,8.0,,,9.0,38,20.0
2021-03-06,,,,11.0,,39.0,,10.0,4.0,10.0,23.0,,,19.0,,,,,,41,4.0,,1.0,6.0,34,14.0
2021-03-07,,,,11.0,,53.0,,11.0,2.0,32.0,3.0,,,23.0,,,,,,42,4.0,,2.0,2.0,54,25.0
2021-03-08,,,,11.0,,82.0,,18.0,1.0,35.0,10.0,,,10.0,,,,,2.0,34,10.0,,1.0,9.0,38,19.0
2021-03-09,,,,11.0,,49.0,1.0,13.0,1.0,,,6.0,,15.0,,,,,,56,12.0,,,9.0,48,25.0
2021-03-10,,,,11.0,,47.0,,10.0,,,6.0,,,41.0,,,,,,63,11.0,,1.0,9.0,40,12.0
2021-03-11,,,,11.0,,31.0,,13.0,,,6.0,,,28.0,,,,,,38,10.0,,1.0,5.0,30,18.0
2021-03-12,,,,10.0,,51.0,,9.0,1.0,6.0,,,,25.0,,,,,,31,7.0,,,1.0,30,17.0
2021-03-13,,,,10.0,,43.0,,6.0,1.0,19.0,3.0,,,62.0,,,,,2.0,24,12.0,,4.0,1.0,39,10.0
2021-03-14,,,,12.0,,76.0,,7.0,1.0,10.0,,,,10.0,,,,,3.0,42,7.0,,,8.0,40,12.0
2021-03-15,,,,10.0,,47.0,,13.0,1.0,23.0,13.0,,,28.0,,,,,,22,9.0,1.0,,5.0,30,10.0
2021-03-16,,,,10.0,,25.0,,5.0,1.0,65.0,6.0,,,32.0,,,,,,23,3.0,,13.0,6.0,36,11.0
2021-03-17,,,,10.0,,35.0,,10.0,,,3.0,,,43.0,,,,,,26,6.0,,3.0,3.0,35,10.0
2021-03-18,,,,9.0,,41.0,,5.0,,,10.0,,,46.0,,,,,,27,4.0,,1.0,3.0,44,7.0
2021-03-19,,,,9.0,,45.0,,11.0,,3.0,,,,14.0,,,,,5.0,16,4.0,,1.0,4.0,33,6.0
2021-03-20,,,,10.0,,50.0,,13.0,1.0,3.0,,,,37.0,,,,,,16,3.0,,3.0,2.0,43,12.0
2021-03-21,,,,11.0,,50.0,,9.0,,,,,,33.0,,,,,,36,5.0,,9.0,5.0,43,16.0
2021-03-22,,,,14.0,,60.0,,13.0,,3.0,23.0,,,32.0,,,,,,13,3.0,,2.0,4.0,32,10.0
2021-03-23,,,,11.0,,55.0,,12.0,,3.0,,,,39.0,,,,,,32,19.0,,2.0,4.0,32,11.0
2021-03-24,,,,11.0,,50.0,,10.0,,10.0,3.0,,,10.0,,,,,,43,15.0,,6.0,5.0,40,12.0
2021-03-25,,,,11.0,,45.0,,10.0,,,87.0,,,41.0,,,,,,32,13.0,,4.0,7.0,26,9.0
2021-03-26,,,,12.0,,45.0,,9.0,1.0,,10.0,,,25.0,,,,,,20,3.0,,4.0,2.0,37,15.0
2021-03-27,,,,15.0,,36.0,,5.0,,,3.0,,,23.0,,,,,,27,6.0,,2.0,9.0,36,16.0
2021-03-28,,,,13.0,,29.0,,12.0,,,23.0,,,16.0,,,,,,28,6.0,,2.0,10.0,45,11.0
2021-03-29,,,,12.0,,31.0,,10.0,,,6.0,,,73.0,,,,,,31,3.0,,3.0,9.0,35,10.0
2021-03-30,,,,10.0,,32.0,,6.0,1.0,,,,,1.0,,,,,,14,6.0,,6.0,4.0,36,11.0
2021-03-31,,,,11.0,,37.0,,9.0,1.0,19.0,,,,19.0,,1.0,,,,24,2.0,,4.0,6.0,22,16.0
2021-04-01,,,,12.0,,36.0,,9.0,1.0,3.0,,,,24.0,,,,,,19,2.0,,2.0,3.0,28,13.0
2021-04-02,,,,17.0,,58.0,,9.0,,,3.0,,,22.0,,,,,,25,2.0,,1.0,3.0,28,15.0
2021-04-03,,,,13.0,,40.0,,11.0,2.0,52.0,6.0,,,16.0,,1.0,,,,26,3.0,,4.0,3.0,25,8.0
2021-04-04,,,,14.0,,46.0,,12.0,1.0,6.0,13.0,,,9.0,,,,,,19,4.0,,1.0,4.0,40,16.0
2021-04-05,,,,13.0,,35.0,,10.0,1.0,6.0,6.0,,,9.0,,,,,,21,10.0,,2.0,6.0,27,13.0
2021-04-06,,,,13.0,,38.0,,11.0,1.0,,16.0,3.0,,11.0,,,,,,32,7.0,,5.0,6.0,31,9.0
2021-04-07,,,,12.0,,61.0,,12.0,1.0,,16.0,6.0,,13.0,,,,,,31,6.0,,4.0,4.0,31,4.0
2021-04-08,,,,13.0,,37.0,,7.0,3.0,10.0,19.0,,,1.0,,,,,,33,1.0,1.0,14.0,2.0,21,12.0
2021-04-09,,,,10.0,,22.0,,13.0,,,16.0,,,9.0,,,,,,22,3.0,,2.0,4.0,28,9.0
2021-04-10,,,,10.0,,31.0,,11.0,1.0,6.0,,,,1.0,1.0,,,,,18,5.0,,12.0,9.0,37,8.0
2021-04-11,,,,11.0,,25.0,,12.0,1.0,,,,,6.0,,,,,,28,3.0,,4.0,5.0,39,17.0
2021-04-12,,,,10.0,,24.0,,8.0,1.0,,,,,6.0,,,,,,17,3.0,,8.0,9.0,28,12.0
2021-04-13,,,,9.0,,18.0,,13.0,,3.0,6.0,10.0,,,,,,,,33,15.0,1.0,16.0,7.0,40,14.0
