,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
35,경기도 화성시 향남읍,조던1 로우 화이트 울프 그레이 270 팔아요,2,168820945,180000,3,5420772,1635911878,1,2021-11-03 12:57:58,2021-11-03,270,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,경기도,화성시,향남읍
36,경기도 수원시 권선구 평동,(가격내림마지막) 조던1 로우 화이트 울프그레이 235,7,168426738,210000,3,7867128,1635692983,1,2021-11-01 00:09:43,2021-11-01,235,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,경기도,수원시,권선구 평동
37,서울특별시 관악구 남현동,(260)조던1로우 울프그레이,4,166942820,11111,3,4348668,1635563536,2,2021-10-30 12:12:16,2021-10-30,260,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,관악구,남현동
38,서울특별시 구로구 신도림동,나이키 조던1 로우 울프그레이 w260 새상품팝니다.,3,167587639,310000,3,464391,1635534634,1,2021-10-30 04:10:34,2021-10-30,260,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,구로구,신도림동
39,서울특별시 서대문구 남가좌제1동,[255] 조던1로우 울프그레이,2,167670140,320000,3,77586934,1635393369,2,2021-10-28 12:56:09,2021-10-28,255,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,서대문구,남가좌제1동
40,울산광역시 북구 염포동,조던1 울프그레이 로우 w265,2,167814972,300000,3,419878,1635289081,1,2021-10-27 07:58:01,2021-10-27,265,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,울산광역시,북구,염포동
41,경상북도 경산시 압량면,조던1 로우 울프그레이 w290,0,167845385,360000,3,76510283,1635218908,2,2021-10-26 12:28:28,2021-10-26,290,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,경상북도,경산시,압량면
42,인천광역시 서구 연희동,[275]조던 1로우 화이트 울프그레이,11,166231084,383000,3,663844,1635210359,1,2021-10-26 10:05:59,2021-10-26,275,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,인천광역시,서구,연희동
43,서울특별시 용산구 이태원제1동,280) 조던 1 로우 울프그레이 새제품,3,168056746,340000,3,75203969,1635204511,2,2021-10-26 08:28:31,2021-10-26,280,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,용산구,이태원제1동
44,대구광역시 중구 성내2동,(정품 새상품)나이키 조던1 울프그레이 235 로우,0,168031642,290000,3,423036,1635176931,2,2021-10-26 00:48:51,2021-10-26,235,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,대구광역시,중구,성내2동
45,서울특별시 동대문구 전농제2동,(새상품)조던1 로우 울프그레이 조던맛 250 ,1,167902716,260000,3,3394918,1635121328,2,2021-10-25 09:22:08,2021-10-25,250,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,동대문구,전농제2동
46,서울특별시 송파구 석촌동,조던 1 로우 화이트 울프그레이  w275,0,167911907,370000,3,12548244,1635069979,2,2021-10-24 19:06:19,2021-10-24,275,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,송파구,석촌동
47,서울특별시 마포구 서교동,[230]나이키 조던1 로우 울프그레이,7,167554501,289000,3,6090140,1635028397,2,2021-10-24 07:33:17,2021-10-24,230,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,마포구,서교동
48,NULL,조던 1 로우 화이트 울프 그레이 275,2,167789583,170000,3,77690803,1634952152,1,2021-10-23 10:22:32,2021-10-23,275,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,NUL,NUL,NULL
