날짜,뉴발란스 993 그레이,뉴발란스 993 네이비,뉴발란스 993 블랙
2021-04-22,40.585,4.57038,12.43144
2021-04-23,37.29433,6.39853,9.68921
2021-04-24,48.8117,4.93601,7.49542
2021-04-25,59.96343,3.6563,10.42047
2021-04-26,50.82266,5.11882,14.80804
2021-04-27,57.40402,7.49542,11.51736
2021-04-28,50.45703,6.21572,13.34552
2021-04-29,61.24314,4.93601,9.50639
2021-04-30,49.90859,8.04387,8.95795
2021-05-01,46.61791,4.38756,9.68921
2021-05-02,54.8446,6.39853,11.15173
2021-05-03,45.3382,3.10786,8.59232
2021-05-04,45.70383,3.83912,9.50639
2021-05-05,50.27422,5.66727,11.70018
2021-05-06,49.72577,6.76416,14.07678
2021-05-07,41.49908,9.14076,8.95795
2021-05-08,47.34917,7.31261,8.04387
2021-05-09,45.15539,5.66727,10.42047
2021-05-10,41.49908,6.39853,14.07678
2021-05-11,43.69287,6.39853,11.51736
2021-05-12,37.47714,4.38756,10.23765
2021-05-13,33.45521,4.93601,8.4095
2021-05-14,34.36928,4.93601,6.39853
2021-05-15,48.99451,3.6563,8.95795
2021-05-16,53.93053,3.6563,8.4095
2021-05-17,42.59597,4.38756,6.76416
2021-05-18,49.17733,2.19378,9.68921
2021-05-19,46.80073,8.95795,10.60329
2021-05-20,44.78976,5.11882,8.95795
2021-05-21,31.26142,3.6563,6.76416
2021-05-22,36.74588,3.83912,5.85009
2021-05-23,40.40219,2.92504,10.42047
2021-05-24,30.71297,2.37659,5.66727
2021-05-25,36.9287,4.75319,9.14076
2021-05-26,35.8318,5.30164,8.22669
2021-05-27,33.45521,3.47349,7.86106
2021-05-28,25.22851,3.6563,5.85009
2021-05-29,35.46617,4.38756,8.4095
2021-05-30,30.16453,3.83912,11.88299
2021-05-31,31.62705,4.93601,11.88299
2021-06-01,33.27239,4.02193,9.50639
2021-06-02,34.5521,2.55941,7.31261
2021-06-03,27.60511,2.01096,5.30164
2021-06-04,25.59414,3.47349,4.02193
2021-06-05,29.7989,3.6563,6.0329
2021-06-06,33.63802,6.21572,8.59232
2021-06-07,33.27239,5.30164,4.75319
2021-06-08,26.14259,3.83912,6.39853
2021-06-09,28.70201,2.92504,3.6563
2021-06-10,28.88482,4.02193,6.58135
2021-06-11,24.49725,2.74223,9.14076
2021-06-12,30.34734,6.39853,5.66727
2021-06-13,34.00365,4.38756,6.0329
2021-06-14,31.44424,2.55941,5.48446
2021-06-15,32.1755,2.37659,7.67824
2021-06-16,35.28336,3.29067,7.12979
2021-06-17,38.2084,4.02193,7.86106
2021-06-18,31.99268,1.82815,6.58135
2021-06-19,27.05667,1.2797,5.48446
2021-06-20,35.28336,3.47349,5.66727
2021-06-21,30.16453,3.10786,5.48446
2021-06-22,30.89579,3.10786,4.57038
2021-06-23,27.97074,2.19378,5.85009
2021-06-24,20.47531,2.01096,7.67824
2021-06-25,25.59414,1.82815,3.83912
2021-06-26,32.35831,3.29067,4.93601
2021-06-27,32.1755,3.10786,2.92504
2021-06-28,30.89579,2.01096,7.12979
2021-06-29,32.1755,1.82815,4.93601
2021-06-30,28.33638,2.19378,5.85009
2021-07-01,20.47531,1.64533,3.10786
2021-07-02,23.58318,2.37659,1.82815
2021-07-03,25.22851,2.37659,2.74223
2021-07-04,29.61608,3.10786,5.30164
2021-07-05,28.88482,3.29067,5.66727
2021-07-06,31.07861,4.02193,3.6563
2021-07-07,25.22851,4.38756,5.11882
2021-07-08,25.77696,2.19378,6.58135
2021-07-09,23.03473,2.55941,4.75319
2021-07-10,21.57221,3.83912,4.57038
2021-07-11,30.71297,2.37659,3.83912
2021-07-12,30.16453,3.29067,5.66727
2021-07-13,33.45521,4.38756,5.30164
2021-07-14,32.54113,1.64533,5.66727
2021-07-15,27.23948,2.01096,6.58135
2021-07-16,23.21755,1.82815,5.66727
